Pressure_hPa,Rh,Rain_mm,Latitude,Longitude,Radiance,Duration,Target
963.4900152482193,64.51665639288585,3.1300298201259227,24.245,85.185,464552.0,186.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.301,85.149,943158.0,294.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.26,85.238,603861.0,386.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.244,85.298,109854.0,2.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.255,85.235,191404.0,302.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.192,84.767,640190.0,162.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.198,84.845,144797.0,0.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.191,84.911,172119.0,58.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.187,84.857,99370.0,178.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.328,85.307,32907.0,2.0,1
963.4900152482193,64.51665639288585,3.1300298201259227,24.328,85.307,32907.0,2.0,0
963.4900152482193,64.51665639288585,3.1300298201259227,24.328,85.307,32907.0,2.0,0
